val0,val1,val2,val3,val4,val5,val6,val7,val8,val9,Sample,Accuracy
0.0947265625,0.7216796875,0.8935546875,0.5517578125,0.4052734375,0.5322265625,0.6708984375,0.2744140625,0.3662109375,0.9443359375,600,0.6666666666666666
0.0947265625,0.7216796875,0.8935546875,0.5517578125,0.4052734375,0.5322265625,0.6708984375,0.2744140625,0.1259765625,0.3505859375,600,0.6666666666666666
0.7099609375,0.3798828125,0.5361328125,0.0087890625,0.0185546875,0.4951171875,0.5947265625,0.4697265625,0.3662109375,0.3505859375,600,0.6833333333333333
0.0634765625,0.1904296875,0.0498046875,0.4580078125,0.6240234375,0.2509765625,0.9521484375,0.8056640625,0.0322265625,0.4130859375,600,0.6583333333333333
0.7412109375,0.1904296875,0.0498046875,0.4580078125,0.6240234375,0.2509765625,0.9521484375,0.8056640625,0.0322265625,0.4130859375,600,0.6583333333333333
0.0634765625,0.2236328125,0.0498046875,0.4580078125,0.6240234375,0.2509765625,0.9521484375,0.8056640625,0.0322265625,0.4130859375,600,0.6583333333333333
0.0634765625,0.1904296875,0.4423828125,0.4580078125,0.6240234375,0.2509765625,0.9521484375,0.8056640625,0.0322265625,0.4130859375,600,0.6583333333333333
0.0634765625,0.1904296875,0.0498046875,0.2275390625,0.6240234375,0.2509765625,0.9521484375,0.8056640625,0.0322265625,0.4130859375,600,0.6583333333333333
0.0634765625,0.1904296875,0.0498046875,0.4580078125,0.6748046875,0.2509765625,0.9521484375,0.8056640625,0.0322265625,0.4130859375,600,0.6583333333333333
0.0634765625,0.1904296875,0.0498046875,0.4580078125,0.6240234375,0.6513671875,0.9521484375,0.8056640625,0.0322265625,0.4130859375,600,0.65
0.0634765625,0.1904296875,0.0498046875,0.4580078125,0.6240234375,0.2509765625,0.6259765625,0.8056640625,0.0322265625,0.4130859375,600,0.6583333333333333
0.0634765625,0.1904296875,0.0498046875,0.4580078125,0.6240234375,0.2509765625,0.9521484375,0.0634765625,0.0322265625,0.4130859375,600,0.6666666666666666
0.0634765625,0.1904296875,0.0498046875,0.4580078125,0.6240234375,0.2509765625,0.9521484375,0.8056640625,0.7724609375,0.4130859375,600,0.6583333333333333
0.0634765625,0.1904296875,0.0498046875,0.4580078125,0.6240234375,0.2509765625,0.9521484375,0.8056640625,0.0322265625,0.8818359375,600,0.6583333333333333
0.7412109375,0.2236328125,0.4423828125,0.2275390625,0.6748046875,0.6513671875,0.6259765625,0.0634765625,0.7724609375,0.8818359375,600,0.6583333333333333
0.5634765625,0.6904296875,0.5498046875,0.9580078125,0.1240234375,0.7509765625,0.4521484375,0.3056640625,0.5322265625,0.9130859375,600,0.675
