Input,Threshold,Accuracy
1.0,0.066,0.7383720930232558
0.1,0.068,0.0
0.2,0.068,0.20348837209302326
0.30000000000000004,0.068,0.37209302325581395
0.4,0.068,0.563953488372093
0.5,0.068,0.5813953488372093
0.6,0.068,0.7209302325581395
0.7000000000000001,0.068,0.7441860465116279
0.8,0.068,0.7441860465116279
0.9,0.068,0.75
1.0,0.068,0.7383720930232558
0.1,0.07,0.0
0.2,0.07,0.20348837209302326
0.30000000000000004,0.07,0.36046511627906974
0.4,0.07,0.5581395348837209
0.5,0.07,0.5755813953488372
0.6,0.07,0.7209302325581395
0.7000000000000001,0.07,0.7267441860465116
0.8,0.07,0.7325581395348837
0.9,0.07,0.75
1.0,0.07,0.7209302325581395
0.1,0.07200000000000001,0.0
0.2,0.07200000000000001,0.20348837209302326
0.30000000000000004,0.07200000000000001,0.36046511627906974
0.4,0.07200000000000001,0.5581395348837209
0.5,0.07200000000000001,0.5755813953488372
0.6,0.07200000000000001,0.7209302325581395
0.7000000000000001,0.07200000000000001,0.7151162790697675
0.8,0.07200000000000001,0.7325581395348837
0.9,0.07200000000000001,0.7383720930232558
1.0,0.07200000000000001,0.6976744186046512
0.1,0.07400000000000001,0.0
0.2,0.07400000000000001,0.20348837209302326
0.30000000000000004,0.07400000000000001,0.36046511627906974
0.4,0.07400000000000001,0.5581395348837209
0.5,0.07400000000000001,0.5755813953488372
0.6,0.07400000000000001,0.7209302325581395
0.7000000000000001,0.07400000000000001,0.7151162790697675
0.8,0.07400000000000001,0.7267441860465116
0.9,0.07400000000000001,0.7325581395348837
1.0,0.07400000000000001,0.6918604651162791
0.1,0.076,0.0
0.2,0.076,0.19186046511627908
0.30000000000000004,0.076,0.36046511627906974
0.4,0.076,0.5523255813953488
0.5,0.076,0.5755813953488372
0.6,0.076,0.7209302325581395
0.7000000000000001,0.076,0.7151162790697675
0.8,0.076,0.7267441860465116
0.9,0.076,0.7325581395348837
1.0,0.076,0.6744186046511628
0.1,0.078,0.0
0.2,0.078,0.18604651162790697
0.30000000000000004,0.078,0.36046511627906974
0.4,0.078,0.5523255813953488
0.5,0.078,0.5755813953488372
0.6,0.078,0.7209302325581395
0.7000000000000001,0.078,0.7151162790697675
0.8,0.078,0.7209302325581395
0.9,0.078,0.7267441860465116
1.0,0.078,0.6569767441860465
0.1,0.08,0.0
0.2,0.08,0.18604651162790697
0.30000000000000004,0.08,0.36046511627906974
0.4,0.08,0.5523255813953488
0.5,0.08,0.5755813953488372
0.6,0.08,0.7209302325581395
0.7000000000000001,0.08,0.7093023255813954
0.8,0.08,0.7209302325581395
0.9,0.08,0.7151162790697675
1.0,0.08,0.6511627906976745
0.1,0.082,0.0
0.2,0.082,0.18604651162790697
0.30000000000000004,0.082,0.36046511627906974
0.4,0.082,0.5523255813953488
0.5,0.082,0.5755813953488372
0.6,0.082,0.7209302325581395
0.7000000000000001,0.082,0.7093023255813954
0.8,0.082,0.7093023255813954
0.9,0.082,0.7151162790697675
1.0,0.082,0.6395348837209303
0.1,0.084,0.0
0.2,0.084,0.18023255813953487
0.30000000000000004,0.084,0.3546511627906977
0.4,0.084,0.5523255813953488
0.5,0.084,0.5755813953488372
0.6,0.084,0.7093023255813954
0.7000000000000001,0.084,0.7034883720930233
0.8,0.084,0.7093023255813954
0.9,0.084,0.7093023255813954
1.0,0.084,0.6337209302325582
0.1,0.08600000000000001,0.0
0.2,0.08600000000000001,0.18023255813953487
0.30000000000000004,0.08600000000000001,0.3546511627906977
0.4,0.08600000000000001,0.5523255813953488
0.5,0.08600000000000001,0.5755813953488372
0.6,0.08600000000000001,0.6976744186046512
0.7000000000000001,0.08600000000000001,0.7034883720930233
0.8,0.08600000000000001,0.7034883720930233
0.9,0.08600000000000001,0.686046511627907
1.0,0.08600000000000001,0.6337209302325582
0.1,0.08800000000000001,0.0
0.2,0.08800000000000001,0.18023255813953487
0.30000000000000004,0.08800000000000001,0.3546511627906977
0.4,0.08800000000000001,0.5523255813953488
0.5,0.08800000000000001,0.5813953488372093
0.6,0.08800000000000001,0.6976744186046512
0.7000000000000001,0.08800000000000001,0.7034883720930233
0.8,0.08800000000000001,0.6976744186046512
0.9,0.08800000000000001,0.686046511627907
1.0,0.08800000000000001,0.6337209302325582
0.1,0.09,0.0
0.2,0.09,0.18023255813953487
0.30000000000000004,0.09,0.3546511627906977
0.4,0.09,0.5523255813953488
0.5,0.09,0.5755813953488372
0.6,0.09,0.6976744186046512
0.7000000000000001,0.09,0.7034883720930233
0.8,0.09,0.6976744186046512
0.9,0.09,0.6686046511627907
1.0,0.09,0.6337209302325582
